,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company,mileage,seats
2558,eon,2016,250000,30000,Petrol,Individual,Manual,Second Owner,hyundai,21.1,5
2559,scorpio,2018,707000,60000,Diesel,Individual,Manual,First Owner,mahindra,15.4,7
2560,getz,2007,95000,120000,Petrol,Individual,Manual,Fourth & Above Owner,hyundai,15.3,5
2562,indigo,2012,200000,35000,Diesel,Individual,Manual,First Owner,tata,23.03,5
2565,alto 800,2016,150000,25000,Petrol,Individual,Manual,Second Owner,maruti,22.74,5
2567,aveo,2007,85000,70000,Petrol,Individual,Manual,Second Owner,chevrolet,14.7,5
2568,grand i10,2018,475000,23000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
2569,polo,2014,425000,40000,Petrol,Individual,Manual,First Owner,volkswagen,16.2,5
2572,swift dzire,2015,535000,80000,Diesel,Individual,Manual,First Owner,maruti,28.4,5
2573,verna,2009,325000,25000,Diesel,Individual,Manual,Third Owner,hyundai,17.01,5
2574,wagon r,2013,270000,74000,Petrol,Individual,Manual,Third Owner,maruti,21.79,5
2575,celerio,2015,300000,60000,Petrol,Individual,Manual,Third Owner,maruti,23.1,5
2576,vento,2011,325000,70000,Diesel,Individual,Manual,First Owner,volkswagen,15.04,5
2577,new safari,2010,350000,100000,Diesel,Individual,Manual,First Owner,tata,13.93,7
2578,verna,2008,229999,146000,Diesel,Individual,Manual,Third Owner,hyundai,22.32,5
2579,swift dzire,2012,325000,120000,Diesel,Individual,Manual,Second Owner,maruti,19.3,5
2580,wagon r,2005,70000,70000,Petrol,Individual,Manual,Second Owner,maruti,18.9,5
2583,scorpio,2016,1025000,70000,Diesel,Individual,Manual,First Owner,mahindra,15.4,7
2584,alto 800,2012,120000,50000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
2585,alto,2009,114999,90000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
2586,city,2009,300000,120000,Petrol,Individual,Manual,Second Owner,honda,17.7,5
2588,wagon r,2005,90000,70000,Petrol,Individual,Manual,Second Owner,maruti,36.68,5
2589,alto,2006,150000,140300,Petrol,Individual,Manual,First Owner,maruti,19.7,5
2590,alto k10,2010,115999,70000,Petrol,Individual,Manual,First Owner,maruti,20.92,5
2591,wagon r,2016,375000,23000,Petrol,Dealer,Manual,Second Owner,maruti,20.51,5
2593,scorpio,2005,120000,120000,Diesel,Individual,Manual,Third Owner,mahindra,14.0,7
2594,celerio,2015,350000,120000,Diesel,Individual,Manual,First Owner,maruti,21.63,5
2595,celerio,2017,409999,35000,Petrol,Individual,Manual,First Owner,maruti,23.1,5
2597,sunny,2013,220000,90000,Diesel,Individual,Manual,Second Owner,nissan,22.71,5
2598,fiesta,2008,120000,80000,Petrol,Individual,Manual,Second Owner,ford,25.01,5
2599,santro,2007,70000,55000,Petrol,Individual,Manual,Second Owner,hyundai,17.92,5
2600,swift dzire,2017,800000,15000,Petrol,Individual,Manual,First Owner,maruti,19.1,5
2602,scorpio,2012,525000,145000,Diesel,Individual,Manual,First Owner,mahindra,12.05,7
2603,go plus,2016,300000,35000,Petrol,Individual,Manual,First Owner,datsun,19.44,7
2604,i10,2008,195000,56000,Petrol,Individual,Manual,Second Owner,hyundai,20.36,5
2605,fiesta,2007,130000,98000,Diesel,Individual,Manual,Second Owner,ford,16.6,5
2608,innova,2010,450000,120000,Diesel,Individual,Manual,Third Owner,toyota,12.8,7
2610,bolero,2018,800000,35000,Diesel,Individual,Manual,First Owner,mahindra,15.96,7
2611,800 ac,2013,100000,80000,Petrol,Individual,Manual,First Owner,maruti,16.1,5
2612,alto 800,2015,265000,32933,Petrol,Dealer,Manual,First Owner,maruti,24.7,5
2613,wagon r,2008,175000,54551,Petrol,Dealer,Manual,First Owner,maruti,20.16,5
2615,xcent,2015,471000,41025,Petrol,Dealer,Automatic,First Owner,hyundai,24.4,5
2616,swift dzire,2019,650000,5000,Diesel,Individual,Manual,First Owner,maruti,21.21,5
2617,eon,2012,225000,53122,Petrol,Dealer,Manual,Second Owner,hyundai,21.1,5
2618,alto 800,2013,245000,64111,CNG,Dealer,Manual,First Owner,maruti,22.74,5
2619,ritz,2011,221000,78892,Petrol,Dealer,Manual,First Owner,maruti,18.5,5
2620,i20,2011,271000,74113,Petrol,Dealer,Manual,First Owner,hyundai,21.19,5
2621,wagon r,2012,290000,80000,Petrol,Dealer,Manual,First Owner,maruti,45.528,5
2622,swift,2017,525000,39000,Petrol,Dealer,Manual,First Owner,maruti,28.4,5
2624,nano,2012,95000,20778,Petrol,Dealer,Manual,First Owner,tata,21.9,4
2625,ertiga,2015,763000,64441,Diesel,Dealer,Manual,First Owner,maruti,20.77,7
2626,amaze,2015,450000,43192,Petrol,Dealer,Manual,First Owner,honda,27.4,5
2627,nano,2014,140000,44416,Petrol,Dealer,Manual,First Owner,tata,25.4,4
2628,ciaz,2016,701000,79991,Diesel,Dealer,Manual,First Owner,maruti,28.09,5
2630,baleno,2018,520000,50000,Petrol,Individual,Automatic,First Owner,maruti,21.4,5
2631,figo aspire,2017,550000,100000,Diesel,Individual,Manual,First Owner,ford,25.83,5
2633,xuv500,2018,1150000,20000,Diesel,Individual,Manual,First Owner,mahindra,16.0,7
2635,swift,2012,425000,40000,Diesel,Individual,Manual,First Owner,maruti,25.2,5
2636,swift dzire,2014,450000,70000,Diesel,Individual,Manual,Second Owner,maruti,26.59,5
2637,innova,2008,590000,89600,Diesel,Individual,Manual,Third Owner,toyota,12.8,7
2640,polo,2014,450000,80000,Diesel,Individual,Manual,Second Owner,volkswagen,22.07,5
2642,innova,2014,520000,70000,Diesel,Individual,Manual,Second Owner,toyota,12.99,7
2643,800 ac,2007,80000,120000,Petrol,Individual,Manual,First Owner,maruti,16.1,5
2644,nano,2014,55000,40000,Petrol,Individual,Manual,First Owner,tata,25.4,4
2646,alto 800,2019,210000,20000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
2647,tiago,2017,260000,50000,Diesel,Individual,Manual,First Owner,tata,27.28,5
2648,zest,2016,250000,70000,Diesel,Individual,Manual,First Owner,tata,17.57,5
2649,indica,2008,80000,90000,Diesel,Individual,Manual,First Owner,tata,19.0,5
2650,innova,2010,450000,150000,Diesel,Individual,Manual,Second Owner,toyota,12.8,7
2651,innova,2005,310000,120000,Diesel,Individual,Manual,Second Owner,toyota,12.8,7
2652,figo,2014,350000,90000,Petrol,Individual,Manual,Second Owner,ford,20.0,5
2653,sx4,2011,320000,100000,Diesel,Individual,Manual,First Owner,maruti,15.5,5
2654,amaze,2016,475000,90000,Diesel,Individual,Manual,First Owner,honda,25.8,5
2655,manza,2011,220000,140000,Diesel,Individual,Manual,Second Owner,tata,21.02,5
2656,indica,2008,70000,60000,Petrol,Individual,Manual,First Owner,tata,22.3,5
2657,sail,2015,281000,40000,Diesel,Individual,Manual,First Owner,chevrolet,18.2,5
2658,indigo,2013,211000,80000,Diesel,Individual,Manual,First Owner,tata,19.09,5
2659,i20,2018,550000,11000,Petrol,Individual,Manual,First Owner,hyundai,22.54,5
2660,enjoy,2014,350000,110000,Diesel,Individual,Manual,First Owner,chevrolet,18.2,7
2661,wagon r,2017,420000,19890,Petrol,Dealer,Automatic,First Owner,maruti,20.51,5
2662,kwid,2015,270000,20969,Petrol,Dealer,Manual,First Owner,renault,22.0,5
2663,celerio,2016,399000,20194,Petrol,Dealer,Manual,First Owner,maruti,23.1,5
2665,eon,2012,250000,44588,Petrol,Dealer,Manual,First Owner,hyundai,21.1,5
2667,alto k10,2015,270000,59258,Petrol,Dealer,Manual,First Owner,maruti,20.92,5
2668,figo,2016,390000,60826,Petrol,Dealer,Manual,First Owner,ford,18.16,5
2669,xuv500,2018,1500000,50000,Diesel,Individual,Manual,First Owner,mahindra,16.0,7
2671,xuv500,2015,900000,110000,Diesel,Individual,Manual,Second Owner,mahindra,15.1,7
2672,others,2018,1600000,40000,Diesel,Individual,Automatic,First Owner,hyundai,16.25,5
2673,nexon,2019,800000,10000,Petrol,Individual,Manual,First Owner,tata,21.5,5
2674,amaze,2013,320000,50000,Diesel,Individual,Manual,First Owner,honda,24.7,5
2675,alto 800,2016,300000,25000,Petrol,Individual,Manual,First Owner,maruti,24.7,5
2676,i20,2018,740000,25000,Petrol,Individual,Manual,First Owner,hyundai,22.54,5
2677,redi-go,2019,350000,1300,Petrol,Individual,Manual,First Owner,datsun,22.7,5
2678,go,2014,280000,40000,Petrol,Individual,Manual,First Owner,datsun,20.63,5
2679,swift dzire,2018,675000,50000,Diesel,Individual,Automatic,First Owner,maruti,23.4,5
2680,i10,2011,300000,20000,Petrol,Individual,Manual,First Owner,hyundai,19.81,5
2681,others,2011,400000,76000,Diesel,Individual,Manual,Third Owner,chevrolet,13.73,7
2682,scorpio,2010,420000,100000,Diesel,Individual,Manual,Third Owner,mahindra,14.0,7
2683,new safari,2008,300000,120000,Diesel,Individual,Manual,First Owner,tata,12.0,7
2684,wagon r,2010,170000,70000,Petrol,Individual,Manual,First Owner,maruti,18.9,5
2685,eon,2014,210000,70000,Petrol,Individual,Manual,Third Owner,hyundai,21.1,5
2686,ertiga,2015,600000,60000,Diesel,Individual,Manual,Second Owner,maruti,20.77,7
2687,wagon r,2014,260000,38000,Petrol,Individual,Manual,Second Owner,maruti,20.51,5
2688,nano,2015,82000,19000,Petrol,Individual,Manual,First Owner,tata,21.9,4
2690,grand i10,2015,300000,70000,Diesel,Individual,Manual,First Owner,hyundai,18.9,5
2691,br-v,2017,1250000,30000,Diesel,Individual,Manual,First Owner,honda,15.4,7
2692,verna,2017,799000,31707,Diesel,Individual,Manual,First Owner,hyundai,22.0,5
2693,fortuner,2010,1000000,180000,Diesel,Individual,Manual,First Owner,toyota,11.5,7
2694,alto 800,2014,190000,90000,Petrol,Individual,Manual,Second Owner,maruti,22.74,5
2696,verna,2009,200000,60000,Petrol,Individual,Manual,First Owner,hyundai,24.8,5
2697,bolero,2005,300000,90000,Diesel,Individual,Manual,Second Owner,mahindra,15.96,7
2698,zest,2015,250000,120000,Petrol,Individual,Manual,Second Owner,tata,17.57,5
2699,800 ac,2008,90000,70000,Petrol,Individual,Manual,Third Owner,maruti,16.1,5
2700,duster,2016,700000,160000,Diesel,Individual,Manual,First Owner,renault,19.01,5
2701,wagon r,2017,290000,110000,Petrol,Individual,Manual,Second Owner,maruti,20.51,5
2702,innova,2014,1050000,97000,Diesel,Individual,Manual,Second Owner,toyota,12.99,7
2703,indigo,2008,70000,100000,Diesel,Individual,Manual,Third Owner,tata,16.1,5
2704,swift,2016,520000,41000,Diesel,Individual,Manual,First Owner,maruti,28.4,5
2705,indigo,2012,150000,90000,Diesel,Individual,Manual,First Owner,tata,23.03,5
2706,i10,2008,120000,90000,Petrol,Individual,Manual,First Owner,hyundai,20.36,5
2707,i20,2016,600000,25000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
2708,vento,2011,400000,60000,Petrol,Individual,Manual,First Owner,volkswagen,22.15,5
2709,alto 800,2015,310000,30000,Petrol,Individual,Manual,Second Owner,maruti,24.7,5
2710,baleno,2015,550000,30000,Petrol,Individual,Manual,First Owner,maruti,21.4,5
2711,i20,2016,550000,60000,Diesel,Individual,Manual,First Owner,hyundai,18.5,5
2712,grand i10,2013,320000,73000,Diesel,Individual,Manual,First Owner,hyundai,18.9,5
2714,vitara brezza,2017,700000,50000,Diesel,Individual,Manual,Second Owner,maruti,24.3,5
2715,ertiga,2012,700000,110000,Diesel,Individual,Manual,Second Owner,maruti,20.77,7
2716,i20,2017,655000,84000,Diesel,Dealer,Manual,First Owner,hyundai,22.54,5
2717,beat,2011,200000,110000,LPG,Individual,Manual,First Owner,chevrolet,25.44,5
2719,verna,2012,470000,109052,Diesel,Dealer,Manual,First Owner,hyundai,16.2,5
2720,ciaz,2015,550000,90658,Diesel,Dealer,Manual,First Owner,maruti,26.21,5
2721,amaze,2014,500000,110000,Diesel,Individual,Manual,Second Owner,honda,25.8,5
2724,verna,2009,245000,75000,Diesel,Dealer,Automatic,First Owner,hyundai,22.32,5
2725,wr-v,2017,700000,25552,Petrol,Dealer,Manual,Second Owner,honda,17.5,5
2726,eon,2018,300000,20000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
2727,xcent,2017,350000,80000,Diesel,Individual,Manual,First Owner,hyundai,19.1,5
2728,i20,2017,635000,25000,Petrol,Dealer,Automatic,First Owner,hyundai,18.6,5
2729,city,2012,325000,40700,Petrol,Individual,Manual,First Owner,honda,25.6,5
2730,xuv500,2017,1150000,65500,Diesel,Dealer,Automatic,First Owner,mahindra,15.1,7
2731,indigo,2008,110000,42000,Petrol,Dealer,Manual,First Owner,tata,19.09,5
2732,city,2018,890000,8000,Petrol,Dealer,Manual,First Owner,honda,17.8,5
2733,swift,2007,73000,80000,Petrol,Individual,Manual,Second Owner,maruti,16.6,5
2734,ciaz,2016,750000,6000,Petrol,Dealer,Manual,First Owner,maruti,28.09,5
2735,baleno,2018,690000,11174,Petrol,Dealer,Manual,First Owner,maruti,21.4,5
2736,indigo,2008,130000,120000,Petrol,Individual,Manual,First Owner,tata,17.0,5
2737,santro,2007,85000,85000,Petrol,Individual,Manual,Second Owner,hyundai,17.92,5
2741,verna,2018,860000,30000,Diesel,Dealer,Manual,Second Owner,hyundai,22.32,5
2742,s-cross,2017,690000,41000,Diesel,Individual,Manual,First Owner,maruti,25.1,5
2744,sail,2014,375000,40000,Diesel,Individual,Manual,First Owner,chevrolet,18.2,5
2745,verna,2013,525000,71000,Diesel,Dealer,Manual,First Owner,hyundai,16.2,5
2746,eeco,2016,330000,72500,Petrol,Dealer,Manual,First Owner,maruti,15.37,5
2748,swift,2014,470000,40000,Petrol,Individual,Manual,First Owner,maruti,28.4,5
2749,polo,2011,350000,110000,Diesel,Individual,Manual,First Owner,volkswagen,20.14,5
2750,city,2012,480000,63000,Petrol,Dealer,Manual,First Owner,honda,17.8,5
2751,verna,2016,620000,60000,Diesel,Individual,Manual,First Owner,hyundai,22.32,5
2753,spark,2010,78692,80000,Petrol,Individual,Manual,Second Owner,chevrolet,18.0,5
2754,i20,2012,350000,80000,Diesel,Individual,Manual,First Owner,hyundai,22.54,5
2755,wagon r,2013,250000,70000,Petrol,Individual,Manual,Second Owner,maruti,37.24,5
2756,i20,2011,260000,97700,Petrol,Individual,Manual,Fourth & Above Owner,hyundai,18.5,5
2757,mobilio,2016,640000,36000,Diesel,Individual,Manual,Second Owner,honda,17.3,7
2758,new safari,2008,220000,90000,Diesel,Individual,Manual,Second Owner,tata,13.93,7
2759,vento,2015,465000,130000,Diesel,Individual,Manual,First Owner,volkswagen,20.54,5
2760,swift,2010,229999,120000,Diesel,Individual,Manual,Second Owner,maruti,22.9,5
2761,wagon r,2018,425000,15000,Petrol,Individual,Manual,First Owner,maruti,20.51,5
2762,indica,2008,95000,120000,Petrol,Individual,Manual,Third Owner,tata,19.1,5
2767,eon,2016,340000,30000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
2768,swift dzire,2016,620000,35000,Petrol,Individual,Manual,First Owner,maruti,19.1,5
2769,manza,2012,270000,60000,Diesel,Individual,Manual,First Owner,tata,21.02,5
2770,tiago,2018,400000,35000,Diesel,Individual,Manual,First Owner,tata,27.28,5
2771,wagon r,2015,260000,40000,Petrol,Individual,Manual,First Owner,maruti,20.51,5
2774,terrano,2015,490000,70000,Diesel,Individual,Manual,First Owner,nissan,19.01,5
2775,wagon r,2010,120000,90000,LPG,Individual,Manual,Second Owner,maruti,18.9,5
2776,i10,2008,125000,102000,Petrol,Individual,Manual,Second Owner,hyundai,20.36,5
2777,alto 800,2019,190000,5000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
2778,linea,2011,500000,20000,Petrol,Individual,Manual,First Owner,fiat,20.4,5
2779,fortuner,2014,1800000,99000,Diesel,Individual,Automatic,First Owner,toyota,12.9,7
2780,civic,2008,320000,90000,Petrol,Individual,Manual,First Owner,honda,13.5,5
2782,figo,2010,105000,90000,Diesel,Individual,Manual,Third Owner,ford,20.0,5
2783,i20,2018,550000,20000,Petrol,Individual,Manual,First Owner,hyundai,17.19,5
2784,grand i10,2019,600000,1100,Petrol,Individual,Automatic,First Owner,hyundai,20.7,5
2785,alto 800,2020,210000,40000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
2786,alto 800,2012,210000,15000,Petrol,Individual,Manual,First Owner,maruti,24.7,5
2787,alto,2009,150000,40000,Petrol,Individual,Manual,First Owner,maruti,19.7,5
2788,i10,2008,125000,60000,Petrol,Individual,Manual,First Owner,hyundai,26.88,5
2789,celerio,2016,380000,20000,Petrol,Individual,Manual,First Owner,maruti,23.1,5
2790,baleno,2019,600000,5000,Petrol,Individual,Manual,First Owner,maruti,21.01,5
2791,swift,2016,490000,27000,Petrol,Individual,Manual,First Owner,maruti,28.4,5
2792,swift dzire,2018,545000,38000,Diesel,Individual,Manual,Second Owner,maruti,20.85,5
2793,wagon r,2015,250000,25000,Petrol,Individual,Manual,First Owner,maruti,20.51,5
2794,venue,2020,1050000,1100,Petrol,Individual,Manual,First Owner,hyundai,18.15,5
2795,wagon r,2007,100000,100000,Petrol,Individual,Manual,First Owner,maruti,18.9,5
2796,figo,2014,250000,100000,Diesel,Individual,Manual,Second Owner,ford,20.0,5
2797,wagon r,2007,100000,110000,Petrol,Individual,Manual,First Owner,maruti,18.9,5
2798,figo,2016,350000,60000,Diesel,Individual,Manual,Second Owner,ford,20.0,5
2799,duster,2012,370000,70000,Diesel,Individual,Manual,Second Owner,renault,19.87,5
2801,figo aspire,2017,570000,44077,Petrol,Dealer,Automatic,First Owner,ford,17.01,5
2802,ertiga,2017,785000,24000,Diesel,Individual,Manual,First Owner,maruti,19.34,7
2803,ciaz,2018,850000,30000,Diesel,Individual,Manual,First Owner,maruti,19.12,5
2804,wagon r,2016,375000,30000,Petrol,Individual,Manual,Second Owner,maruti,20.51,5
2805,baleno,2017,619000,40000,Petrol,Individual,Manual,First Owner,maruti,27.39,5
2806,cruze,2011,335000,90000,Diesel,Individual,Manual,Second Owner,chevrolet,18.1,5
2807,innova,2006,500000,50000,Diesel,Individual,Manual,First Owner,toyota,12.99,7
2809,innova crysta,2019,1900000,20000,Diesel,Individual,Manual,First Owner,toyota,11.36,7
2810,indigo,2013,270000,70000,Diesel,Individual,Manual,Second Owner,tata,25.0,5
2811,wagon r,2010,225000,100000,Petrol,Individual,Manual,Second Owner,maruti,18.9,5
2813,beat,2013,173000,70000,Diesel,Individual,Manual,First Owner,chevrolet,18.6,5
2814,5 series,2018,4800000,9422,Diesel,Individual,Automatic,First Owner,bmw,18.12,5
2815,vento,2017,710000,110000,Diesel,Individual,Automatic,First Owner,volkswagen,20.54,5
2817,baleno,2017,550000,20000,Petrol,Individual,Manual,First Owner,maruti,21.4,5
2818,800 ac,2008,58000,70000,Petrol,Individual,Manual,Second Owner,maruti,16.1,5
2819,a4,2012,1200000,60000,Petrol,Individual,Automatic,Third Owner,audi,16.55,5
2820,scorpio,2013,500000,150000,Diesel,Individual,Manual,First Owner,mahindra,11.79,7
2822,innova,2012,300000,250000,Diesel,Individual,Manual,First Owner,toyota,12.8,7
2823,eon,2018,300000,30000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
2824,go plus,2015,295000,21000,Petrol,Individual,Manual,First Owner,datsun,20.62,7
2825,ertiga,2018,587000,80000,CNG,Individual,Manual,First Owner,maruti,20.77,7
2826,others,2012,430000,50000,Petrol,Individual,Manual,Second Owner,others,17.45,5
2827,verna,2007,123000,50000,Petrol,Individual,Manual,Second Owner,hyundai,23.5,5
2829,wagon r,2007,130000,60000,Petrol,Individual,Manual,Third Owner,maruti,21.79,5
2830,indica,2010,110000,90000,Diesel,Individual,Manual,Second Owner,tata,17.2,5
2832,grand i10,2015,320000,70000,Petrol,Individual,Manual,Second Owner,hyundai,18.9,5
2833,wagon r,2014,300000,50000,Petrol,Individual,Manual,First Owner,maruti,20.51,5
2834,others,2016,350000,110000,Petrol,Individual,Manual,First Owner,volkswagen,17.7,5
2835,ertiga,2018,800000,50000,Petrol,Individual,Manual,First Owner,maruti,24.52,7
2837,i20,2017,540000,60000,Petrol,Individual,Manual,First Owner,hyundai,22.54,5
2838,wagon r,2011,160000,60000,CNG,Individual,Manual,Second Owner,maruti,18.9,5
2839,sx4,2013,340000,100000,Diesel,Individual,Manual,Second Owner,maruti,15.0,5
2841,vento,2011,300000,100000,Diesel,Individual,Manual,First Owner,volkswagen,20.54,5
2842,ritz,2013,330000,63000,Diesel,Individual,Manual,First Owner,maruti,21.1,5
2843,wagon r,2016,325000,80000,CNG,Individual,Manual,Second Owner,maruti,24.22,5
2844,swift dzire,2013,250000,55000,Diesel,Individual,Manual,First Owner,maruti,20.85,5
2845,swift,2013,250000,55000,Diesel,Individual,Manual,First Owner,maruti,22.9,5
2846,beat,2015,240000,60000,Petrol,Individual,Manual,First Owner,chevrolet,18.6,5
2847,grand i10,2020,545000,5000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
2848,i10,2015,300000,48000,Petrol,Dealer,Manual,First Owner,hyundai,19.81,5
2849,kwid,2017,240000,50000,Petrol,Individual,Manual,First Owner,renault,23.01,5
2850,kwid,2018,360000,15000,Petrol,Individual,Manual,First Owner,renault,25.17,5
2851,i20,2012,250000,70000,Diesel,Individual,Manual,First Owner,hyundai,18.5,5
2853,i20,2016,600000,50000,Diesel,Individual,Manual,Second Owner,hyundai,18.6,5
2854,indigo,2010,150000,80000,Diesel,Individual,Manual,Second Owner,tata,19.09,5
2855,ecosport,2017,700000,50000,Diesel,Individual,Manual,First Owner,ford,15.85,5
2857,celerio,2018,500000,10000,Petrol,Individual,Automatic,First Owner,maruti,23.1,5
2859,city,2015,800000,10000,Petrol,Individual,Manual,First Owner,honda,17.8,5
2860,wagon r,2008,150000,50000,Petrol,Individual,Manual,First Owner,maruti,18.9,5
2862,figo,2010,130000,100000,Diesel,Individual,Manual,Third Owner,ford,20.0,5
2863,figo,2012,280000,80000,Diesel,Individual,Manual,Second Owner,ford,20.0,5
2864,xylo,2011,229999,110000,Diesel,Individual,Manual,Second Owner,mahindra,14.95,7
2865,zen,2008,80000,120000,Petrol,Individual,Manual,First Owner,maruti,17.3,5
2866,nano,2010,70000,10000,Petrol,Individual,Manual,First Owner,tata,26.0,4
2867,ritz,2013,240000,60000,Diesel,Individual,Manual,Second Owner,maruti,21.1,5
2869,santro,2006,80000,110000,Petrol,Individual,Manual,First Owner,hyundai,17.92,5
2870,i10,2013,265000,50000,Petrol,Individual,Manual,First Owner,hyundai,19.81,5
2871,eon,2018,320000,25000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
2872,terrano,2014,500000,120000,Diesel,Individual,Manual,Third Owner,nissan,19.01,5
2873,creta,2016,1300000,55000,Diesel,Individual,Manual,First Owner,hyundai,14.8,5
2875,innova crysta,2016,1800000,110000,Diesel,Individual,Automatic,First Owner,toyota,13.68,7
2876,xuv500,2014,600000,80000,Diesel,Individual,Manual,Second Owner,mahindra,15.1,7
2877,tiago,2018,420000,80000,Petrol,Individual,Manual,First Owner,tata,27.28,5
2878,zen,2009,140000,120000,Petrol,Individual,Manual,First Owner,maruti,17.3,5
2879,laura,2010,300000,100000,Diesel,Individual,Manual,Second Owner,skoda,17.5,5
2880,santro,2006,100000,60000,Petrol,Dealer,Manual,Second Owner,hyundai,24.92,5
2881,alto k10,2017,350000,25000,Petrol,Dealer,Manual,First Owner,maruti,20.92,5
2882,ecosport,2018,850000,19000,Petrol,Dealer,Manual,First Owner,ford,23.0,5
2883,alto,2008,140000,54000,Petrol,Dealer,Manual,First Owner,maruti,19.7,5
2885,grand i10,2017,525000,19000,Petrol,Dealer,Automatic,First Owner,hyundai,18.9,5
2891,xuv500,2017,1350000,15000,Diesel,Individual,Automatic,Second Owner,mahindra,16.0,7
2892,duster,2017,800000,50000,Diesel,Individual,Manual,First Owner,renault,19.87,5
2895,nexon,2019,800000,25000,Diesel,Individual,Manual,First Owner,tata,21.5,5
2896,xuv500,2013,660000,69000,Diesel,Individual,Manual,First Owner,mahindra,16.0,7
2897,swift,2015,465000,60000,Diesel,Individual,Manual,Third Owner,maruti,25.2,5
2899,swift dzire,2017,600000,66000,Diesel,Individual,Manual,Third Owner,maruti,23.4,5
2900,fiesta,2010,150000,110000,Petrol,Individual,Manual,First Owner,ford,17.8,5
2901,verna,2014,450000,78000,Diesel,Individual,Manual,Second Owner,hyundai,22.32,5
2902,i20,2019,721000,10000,Petrol,Individual,Manual,First Owner,hyundai,22.54,5
2903,swift,2018,300000,35000,Petrol,Individual,Manual,First Owner,maruti,25.2,5
2905,kwid,2016,300000,40000,Petrol,Individual,Manual,First Owner,renault,25.17,5
2906,scorpio,2013,450000,120000,Diesel,Individual,Manual,First Owner,mahindra,10.5,7
2908,figo,2017,545000,40000,Diesel,Individual,Manual,First Owner,ford,17.01,5
2909,amaze,2018,844999,20000,Diesel,Individual,Manual,First Owner,honda,19.5,5
2915,i10,2012,280000,30000,Petrol,Individual,Manual,Second Owner,hyundai,20.36,5
2916,kwid,2019,400000,10000,Petrol,Individual,Manual,First Owner,renault,25.17,5
2917,xuv500,2012,625000,126000,Diesel,Individual,Manual,Second Owner,mahindra,15.1,7
2918,vento,2015,535000,70000,Diesel,Individual,Manual,First Owner,volkswagen,20.54,5
2919,swift,2017,459999,50000,Diesel,Individual,Manual,First Owner,maruti,20.4,5
2920,bolero,2010,300000,100000,Diesel,Individual,Manual,First Owner,mahindra,13.6,7
2921,civic,2007,280000,60000,Petrol,Individual,Automatic,First Owner,honda,20.0,5
2922,mobilio,2014,500000,70000,Petrol,Individual,Manual,First Owner,honda,17.3,7
2925,alto,2009,78000,120000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
2926,micra,2011,160000,120000,Diesel,Individual,Manual,First Owner,nissan,23.08,5
2928,wagon r,2008,110000,100000,Petrol,Individual,Manual,Second Owner,maruti,16.0,5
2929,bolero,2011,450000,110000,Diesel,Individual,Manual,Second Owner,mahindra,15.96,7
2930,scorpio,2019,1350000,35000,Diesel,Individual,Manual,First Owner,mahindra,15.4,7
2932,br-v,2018,1040000,42000,Diesel,Individual,Manual,First Owner,honda,15.4,7
2933,grand i10,2014,390000,70000,Diesel,Individual,Manual,Second Owner,hyundai,18.9,5
2934,nano,2011,65000,60000,Petrol,Individual,Manual,Second Owner,tata,25.4,4
2937,swift,2007,220000,80000,Petrol,Individual,Manual,Second Owner,maruti,16.6,5
2938,wagon r,2011,225000,65000,Petrol,Dealer,Manual,First Owner,maruti,18.9,5
2939,manza,2010,200000,150000,Diesel,Individual,Manual,Second Owner,tata,21.12,5
2941,figo,2012,300000,63700,Diesel,Individual,Manual,First Owner,ford,25.83,5
2942,amaze,2018,700000,74800,Diesel,Individual,Manual,First Owner,honda,25.8,5
2944,duster,2016,500000,40000,Diesel,Individual,Manual,First Owner,renault,19.87,5
2945,ritz,2016,400000,90000,Diesel,Individual,Manual,Second Owner,maruti,18.5,5
2947,swift dzire,2018,720000,15000,Diesel,Individual,Manual,First Owner,maruti,19.1,5
2948,800 ac,2009,110000,30000,Petrol,Individual,Manual,Second Owner,maruti,16.1,5
2949,scorpio,2014,600000,100000,Diesel,Individual,Manual,Second Owner,mahindra,14.0,7
2950,scorpio,2009,275000,155000,Diesel,Individual,Automatic,Third Owner,mahindra,11.79,7
2951,i20,2017,740000,60000,Diesel,Individual,Manual,First Owner,hyundai,18.5,5
2952,baleno,2017,800000,90000,Diesel,Individual,Manual,First Owner,maruti,15.4,5
2953,verna,2019,1100000,100000,Diesel,Individual,Manual,First Owner,hyundai,22.32,5
2955,alto k10,2012,200000,90000,Petrol,Individual,Manual,Second Owner,maruti,20.92,5
2956,swift,2009,270000,120000,Diesel,Individual,Manual,Second Owner,maruti,22.9,5
